filename,label,percent through interval,F2
f01_mono_F01_idi-2_1,i-d,0,2408.78655293333
f01_mono_F01_idi-2_1,i-d,50,2762.91156437852
f01_mono_F01_idi-2_1,i-d,100,2810.77968467494
f01_mono_F01_idi-3_1,i-d,0,2594.1609003422
f01_mono_F01_idi-3_1,i-d,50,2682.84457646081
f01_mono_F01_idi-3_1,i-d,100,2760.89865792895
f01_mono_F01_ihpi-1_1,i-p,0,2010.79868126378
f01_mono_F01_ihpi-1_1,i-p,50,2686.18671851862
f01_mono_F01_ihpi-1_1,i-p,100,2569.59822827996
f01_mono_F01_ihpwi-3_1,i-pw,0,1085.68029442911
f01_mono_F01_ihpwi-3_1,i-pw,50,2701.04930459284
f01_mono_F01_ihpwi-3_1,i-pw,100,2579.73171872932
f01_mono_F01_ihpwi-3_2,i-pw,0,1609.53748015669
f01_mono_F01_ihpwi-3_2,i-pw,50,2451.84738996813
f01_mono_F01_ihpwi-3_2,i-pw,100,2544.90439645317
f01_mono_F01_ipwidi-1_1,i-pw,0,940
f01_mono_F01_ipwidi-1_1,i-pw,50,1352.70034221499
f01_mono_F01_ipwidi-1_1,i-pw,100,1770.60317032071
f01_mono_F01_ipwidi-2_1,i-pw,0,1040
f01_mono_F01_ipwidi-2_1,i-pw,50,1485.68394752674
f01_mono_F01_ipwidi-2_1,i-pw,100,1985.00966578406
f01_mono_F01_ipwidi-2_2,i-pw,0,1201.73032783301
f01_mono_F01_ipwidi-2_2,i-pw,50,1769.09732328395
f01_mono_F01_ipwidi-2_2,i-pw,100,1852.24128290927
f01_mono_F01_ipwidi-3_1,i-pw,0,1240.35975440827
f01_mono_F01_ipwidi-3_1,i-pw,50,1458.62374632415
f01_mono_F01_ipwidi-3_1,i-pw,100,1753.9668383773
f01_mono_F01_itik-1_1,i-t,0,1967.3105590917
f01_mono_F01_itik-1_1,i-t,50,1703.39998428186
f01_mono_F01_itik-1_1,i-t,100,1612.63399525608
f01_mono_F01_itik-2_1,i-t,0,1979.62228270892
f01_mono_F01_itik-2_1,i-t,50,1761.23597384342
f01_mono_F01_itik-2_1,i-t,100,1575.01212420583
f01_mono_F01_itik-3_1,i-t,0,1969.67081387883
f01_mono_F01_itik-3_1,i-t,50,1695.54779588397
f01_mono_F01_itik-3_1,i-t,100,1629.22656658372
f01_mono_F01_koahpi-1_1,i-p,0,1960.67931008587
f01_mono_F01_koahpi-1_1,i-p,50,2697.90877463541
f01_mono_F01_koahpi-1_1,i-p,100,2140.28703062602
f01_mono_F01_koahpi-2_1,i-p,0,2205.55901380345
f01_mono_F01_koahpi-2_1,i-p,50,2713.48772675067
f01_mono_F01_koahpi-2_1,i-p,100,2202.3312743145
f01_mono_F01_koahpi-3_1,i-p,0,2084.81506272407
f01_mono_F01_koahpi-3_1,i-p,50,2858.66311046042
f01_mono_F01_koahpi-3_1,i-p,100,2735.5999875028
f01_mono_F01_pahpa-1_1,a-p,0,1694.09028260257
f01_mono_F01_pahpa-1_1,a-p,50,1639.30709362322
f01_mono_F01_pahpa-1_1,a-p,100,1537.15428625481
f01_mono_F01_pahpa-2_1,a-p,0,1605.66568787109
f01_mono_F01_pahpa-2_1,a-p,50,1699.62139144856
f01_mono_F01_pahpa-2_1,a-p,100,1632.35874633103
f01_mono_F01_pahpa-3_1,a-p,0,1775.45787815192
f01_mono_F01_pahpa-3_1,a-p,50,1777.14100091541
f01_mono_F01_pahpa-3_1,a-p,100,1581.58834370871
m02_mono_M02_ahdan-2_1,a-d,0,1810.18594072277
m02_mono_M02_ahdan-2_1,a-d,50,1841.20589441539
m02_mono_M02_ahdan-2_1,a-d,100,1974.70094483065
m02_mono_M02_ahdan-3_1,a-d,0,1812.62069341946
m02_mono_M02_ahdan-3_1,a-d,50,1803.94591882477
m02_mono_M02_ahdan-3_1,a-d,100,1153.4205474371
m02_mono_M02_ahpa-2_1,a-p,0,1587.26926917184
m02_mono_M02_ahpa-2_1,a-p,50,1665.11111141127
m02_mono_M02_ahpa-2_1,a-p,100,1646.85302711437
m02_mono_M02_ahpa-2_2,a-p,0,1628.27864439811
m02_mono_M02_ahpa-2_2,a-p,50,1732.39373085575
